id,uvrstitev,naslov,avtor,leto,žanr1,žanr2,ocena,nagrade,kritike,bralci
105992,739,Helter Skelter: The True Story of the Manson Murders,Vincent Bugliosi,1974,Nonfiction,Crime,3.99,1,2367,91032
106,1344,Dune Messiah (Dune Chronicles #2),Frank Herbert,1969,Science Fiction,Fiction,3.85,0,2148,86029
10603,655,Cujo,Stephen King,1981,Horror,Fiction,3.63,1,2612,159230
10605,890,Thinner,Richard Bachman,1984,Horror,Fiction,3.65,0,1552,130861
106096,730,Death on the Installment Plan,Louis-Ferdinand Céline,1936,Fiction,Cultural,4.23,1,274,5078
10614,337,Misery,Stephen King,1987,Horror,Fiction,4.1,2,5917,334331
10625,618,Dolores Claiborne,Stephen King,1992,Horror,Thriller,3.8,0,1581,95085
106264,607,"Sarah, Plain and Tall (Sarah, Plain and Tall, #1)",Patricia MacLachlan,1985,Classics,Childrens,3.72,6,1939,58753
10629,639,Christine,Stephen King,1983,Thriller,Horror,3.72,0,1936,154214
1064084,1303,A Voyage to Arcturus,David Lindsay,1920,Fantasy,Science Fiction,3.62,0,231,1865
107291,560,Needful Things,Stephen King,1991,Fiction,Thriller,3.87,0,2294,157606
107301,399,A Town Like Alice,Nevil Shute,1950,Fiction,Historical Fiction,4.12,0,2589,38007
10739,607,The Moviegoer,Walker Percy,1961,Fiction,Classics,3.7,1,1496,19173
1078,71,"The Good Earth (House of Earth, #1)",Pearl S. Buck,1931,Classics,Fiction,3.97,2,7944,188732
10799,84,A Farewell to Arms,Ernest Hemingway,1929,Fiction,Classics,3.78,0,6842,199020
1081063,1455,Five Smooth Stones,Ann Fairbairn,1966,Fiction,Historical Fiction,4.41,0,338,2229
108229,746,The Perfect Storm: A True Story of Men Against the Sea,Sebastian Junger,1997,Nonfiction,History,4.06,2,1363,83529
10882,1459,Hell's Angels: A Strange and Terrible Saga,Hunter S. Thompson,1966,Nonfiction,Writing,4.0,0,1138,32111
10916,1335,The Pact,Jodi Picoult,1998,Fiction,Romance,3.99,0,9072,229501
10920,237,Cold Mountain,Charles Frazier,1997,Historical Fiction,Fiction,3.83,7,4743,184959
10956,219,The Virgin Suicides,Jeffrey Eugenides,1993,Fiction,Young Adult,3.83,0,7248,168239
10959,204,Sophie's World,Jostein Gaarder,1991,Philosophy,Fiction,3.87,5,7216,137055
10964,144,Outlander (Outlander #1),Diana Gabaldon,1991,Historical Fiction,Romance,4.2,2,35168,540335
10975,80,The Sound and the Fury,William Faulkner,1929,Classics,Fiction,3.86,0,5219,128741
109774,1303,Science and Sanity: An Introduction to Non-Aristotelian Systems and General Semantics,Alfred Korzybski,1933,Philosophy,Science,4.42,0,27,260
10979,262,Light in August,William Faulkner,1932,Fiction,Classics,3.93,0,1851,43082
109830,910,Man's Fate,André Malraux,1933,Fiction,Cultural,3.77,1,166,3018
10987,522,"Voyager (Outlander, #3)",Diana Gabaldon,1993,Historical Fiction,Romance,4.38,0,7760,171019
10988,718,"Drums of Autumn (Outlander, #4)",Diana Gabaldon,1996,Historical Fiction,Romance,4.34,1,5377,136677
11,70,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,1979,Science Fiction,Fiction,4.2,0,18967,974473
110090,1371,True History of the Kelly Gang,Peter Carey,2000,Fiction,Historical Fiction,3.8,7,809,15472
11012,152,Dubliners,James Joyce,1914,Cultural,Classics,3.85,0,3848,87129
11013,390,Finnegans Wake,James Joyce,1939,Fiction,Classics,3.66,0,706,9821
1102322,1040,The Stone Angel,Margaret Laurence,1964,Fiction,Cultural,3.68,1,338,8772
1103,1271,Snow Flower and the Secret Fan,Lisa See,2005,Fiction,Cultural,4.05,2,15491,280836
11031,1468,The Flanders Panel,Arturo Pérez-Reverte,1990,Mystery,Fiction,3.8,1,699,14258
110737,799,Seabiscuit: An American Legend,Laura Hillenbrand,1999,Nonfiction,History,4.19,4,3490,112362
110763,1491,The Gnostic Gospels,Elaine Pagels,1979,Nonfiction,History,3.93,2,483,11359
1111,862,The Power Broker: Robert Moses and the Fall of New York,Robert A. Caro,1974,History,Biography,4.49,3,842,7249
11125,568,Digital Fortress,Dan Brown,1998,Fiction,Thriller,3.59,0,7264,427271
11127,33,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",C.S. Lewis,1956,Childrens,Science Fiction Fantasy,4.24,0,8640,390279
11138,89,Mere Christianity,C.S. Lewis,1943,Christian,Religion,4.31,0,5757,183270
111734,1494,The Iceman Cometh,Eugene O&#39;Neill,1946,Plays,Classics,3.96,0,190,6489
112,1329,Children of Dune (Dune Chronicles #3),Frank Herbert,1976,Science Fiction,Fiction,3.89,2,1292,76397
11206,1086,In the Time of the Butterflies,Julia Alvarez,1994,Historical Fiction,Fiction,4.13,1,3018,41966
11229,929,"The Sea, the Sea",Iris Murdoch,1978,Fiction,Classics,3.9,1,755,11571
11230,1263,The Bell,Iris Murdoch,1958,Fiction,Classics,3.85,0,334,4337
112537,436,"Rendezvous with Rama (Rama, #1)",Arthur C. Clarke,1973,Science Fiction,Fiction,4.06,7,2609,99058
11275,141,The Wind-Up Bird Chronicle,Haruki Murakami,1994,Fiction,Magical Realism,4.17,2,10231,151490
11297,217,Norwegian Wood,Haruki Murakami,1987,Cultural,Asian Literature,4.02,0,11548,202594
11298,731,"A Wild Sheep Chase (The Rat, #3)",Haruki Murakami,1982,Fiction,Cultural,3.94,1,2961,59603
113091,576,A Death in the Family,James Agee,1957,Fiction,Classics,3.92,2,808,11251
113205,1144,Heart of a Dog,Mikhail Bulgakov,1925,Classics,Science Fiction,4.15,0,988,23883
113304,786,The Thief Lord,Cornelia Funke,2000,Fantasy,Young Adult,3.95,10,3289,66680
11334,291,Song of Solomon,Toni Morrison,1977,Fiction,Classics,4.0,2,2214,60456
11337,248,The Bluest Eye,Toni Morrison,1970,Fiction,Classics,3.98,1,4666,117718
113441,1022,The Day of the Locust,Nathanael West,1939,Fiction,Classics,3.79,0,543,16123
11346,671,Sula,Toni Morrison,1973,Fiction,Classics,3.85,2,2195,40242
11366,636,The Guns of August,Barbara W. Tuchman,1962,History,Nonfiction,4.18,2,1572,34982
11376,606,Main Street,Sinclair Lewis,1920,Classics,Fiction,3.75,0,787,19835
11378,1442,Elmer Gantry,Sinclair Lewis,1927,Fiction,Classics,3.98,1,325,3663
11389,920,Arrowsmith,Sinclair Lewis,1925,Fiction,Literature,3.8,1,297,5552
113946,123,How the Grinch Stole Christmas!,Dr. Seuss,1957,Childrens,Classics,4.36,0,2117,247240
11422,1031,Redeeming Love,Francine Rivers,1991,Christian Fiction,Christian,4.48,0,8768,156559
114282,883,The Littlest Angel,Charles Tazewell,1920,Holiday,Childrens,4.28,0,151,5254
114345,321,"The Little House Collection (Little House, #1-9)",Laura Ingalls Wilder,1953,Classics,Childrens,4.33,0,1981,127351
114362,1425,The Vagina Monologues: The V-Day Edition,Eve Ensler,1996,Feminism,Nonfiction,3.86,0,1287,19549
11438,738,What We Talk About When We Talk About Love,Raymond Carver,1981,Short Stories,Fiction,4.23,0,1911,31491
11449,1046,Cathedral,Raymond Carver,1983,Short Stories,Classics,4.3,3,950,19821
11466,867,This Boy's Life,Tobias Wolff,1989,Autobiography,Nonfiction,3.98,2,1161,20085
11472,1316,We Wish to Inform You That Tomorrow We Will Be Killed with Our Families,Philip Gourevitch,1998,Nonfiction,Cultural,4.31,4,1289,18463
11486,51,The Color Purple,Alice Walker,1982,Classics,Fiction,4.16,3,8755,390120
11499,733,The Promise,Chaim Potok,1969,Fiction,Classics,4.12,0,481,10313
11502,1331,The Gift of Asher Lev,Chaim Potok,1990,Fiction,Literature,4.13,0,326,5846
11507,355,My Name Is Asher Lev,Chaim Potok,1972,Fiction,Classics,4.18,0,2223,29895
115476,784,Nostromo,Joseph Conrad,1904,Fiction,Classics,3.81,0,435,12164
11553,893,Boy's Life,Robert McCammon,1991,Horror,Fiction,4.32,3,1693,17306
11557,679,Swan Song,Robert McCammon,1987,Horror,Fiction,4.28,3,2272,39523
11566,342,The Green Mile,Stephen King,1996,Horror,Fiction,4.41,2,4592,182774
11573,535,The Dead Zone,Stephen King,1979,Thriller,Fantasy,3.89,0,2029,134915
11588,132,The Shining (The Shining #1),Stephen King,1977,Horror,Fiction,4.16,0,14151,792325
11590,316,'Salem's Lot,Stephen King,1975,Paranormal,Horror,3.98,1,5760,238787
116114,1089,From Here to Eternity,James  Jones,1951,Fiction,Classics,4.09,1,331,13525
116343,930,"The Hollow Hills (Arthurian Saga, #2)",Mary Stewart,1973,Fantasy,Fiction,4.23,1,402,17590
11650,335,"American Pastoral (The American Trilogy, #1)",Philip Roth,1997,Fiction,Classics,3.91,3,2984,41837
11666,1053,Rabbit at Rest (Rabbit Angstrom #4),John Updike,1990,Fiction,Classics,3.96,3,388,12383
11686,664,The Stories of John Cheever,John Cheever,1978,Short Stories,Fiction,4.27,4,584,12100
11692,1211,The Black Book,Orhan Pamuk,1990,Mystery,Literature,3.88,0,507,6677
11702,1224,The Labyrinth of Solitude and Other Writings,Octavio Paz,1950,Nonfiction,Writing,4.17,0,209,5555
117047,888,The Blind Watchmaker: Why the Evidence of Evolution Reveals a Universe Without Design,Richard Dawkins,1986,Nonfiction,Science,4.08,2,695,22165
11713,176,The English Patient,Michael Ondaatje,1992,Historical Fiction,Fiction,3.88,4,3161,89494
11734,458,"The Human Stain (The American Trilogy, #3)",Philip Roth,2000,Fiction,Literature,3.84,5,1564,24979
11741,427,Housekeeping,Marilynne Robinson,1980,Fiction,Novels,3.82,4,3856,28943
11761,512,Underworld,Don DeLillo,1997,Fiction,Literature,3.92,7,1510,21502
11762,278,White Noise,Don DeLillo,1985,Fiction,Classics,3.86,1,3698,67367
11768,467,The Hotel New Hampshire,John Irving,1981,Fiction,Contemporary,3.88,1,1347,49106
117833,68,The Master and Margarita,Mikhail Bulgakov,1966,Fiction,Classics,4.32,0,6912,145541
118345,1476,Sixty Stories,Donald Barthelme,1981,Short Stories,Fiction,4.22,2,269,4742
118389,834,The Love Song of J. Alfred Prufrock and Other Poems,T.S. Eliot,1915,Poetry,Classics,4.32,0,158,14631
11899,238,The Hours,Michael Cunningham,1998,Fiction,Historical Fiction,3.91,6,3955,102524
11901,259,"The Witching Hour (Lives of the Mayfair Witches, #1)",Anne Rice,1990,Horror,Fantasy,4.1,1,2908,85628
119073,61,The Name of the Rose,Umberto Eco,1980,Fiction,Historical Fiction,4.11,8,5686,213452
11908,1123,The Adventures of Augie March,Saul Bellow,1953,Fiction,Classics,3.85,1,784,13176
119322,942,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,1995,Fantasy,Young Adult,3.93,4,14166,953793
119324,383,"The Subtle Knife (His Dark Materials, #2)",Philip Pullman,1996,Fantasy,Young Adult,4.1,2,5832,260411
119561,1431,The Order of Things: An Archaeology of the Human Sciences,Michel Foucault,1966,Philosophy,Nonfiction,4.12,0,155,6677
119760,1131,The Seat of the Soul,Gary Zukav,1989,Nonfiction,Spirituality,3.97,0,466,29221
119829,1029,The Sunne in Splendour,Sharon Kay Penman,1982,Historical Fiction,Historical,4.4,0,1041,16600
11987,431,The Myth of Sisyphus and Other Essays,Albert Camus,1942,Philosophy,Nonfiction,4.18,0,743,29331
11989,134,The Plague,Albert Camus,1943,Fiction,Classics,3.97,2,3252,106429
11990,1152,The Rebel: An Essay on Man in Revolt,Albert Camus,1951,Philosophy,Nonfiction,4.12,0,281,8356
11991,353,The Fall,Albert Camus,1956,Fiction,Philosophy,4.05,0,1725,47627
12067,151,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,1990,Fantasy,Fiction,4.25,2,13157,308252
12073,1112,Philosophical Investigations,Ludwig Wittgenstein,1953,Philosophy,Nonfiction,4.23,0,216,9667
12075,1396,Tractatus Logico-Philosophicus,Ludwig Wittgenstein,1921,Philosophy,Nonfiction,4.06,0,378,11618
12083,429,Long Day's Journey Into Night,Eugene O&#39;Neill,1941,Plays,Drama,4.07,1,650,27202
12096,916,Rhinoceros / The Chairs / The Lesson,Eugène Ionesco,1962,Plays,Drama,4.0,0,62,4900
12172,493,Memoirs of Hadrian,Marguerite Yourcenar,1951,Historical Fiction,Fiction,4.25,1,818,10643
121749,360,"Prince Caspian (Chronicles of Narnia, #2)",C.S. Lewis,1951,Fantasy,Fiction,3.96,0,4470,263666
12187,731,"Ada, or Ardor: A Family Chronicle",Vladimir Nabokov,1969,Fiction,Classics,4.16,0,534,7263
122,240,"The Power of One (The Power of One, #1)",Bryce Courtenay,1989,Fiction,Historical Fiction,4.34,1,4465,57189
12220,148,A Streetcar Named Desire,Tennessee Williams,1947,Plays,Classics,3.97,1,2617,194026
122311,1259,Dancing at the Rascal Fair,Ivan Doig,1987,Fiction,Historical Fiction,4.21,1,483,4683
122410,1082,"Asterix and Cleopatra (Asterix, #6)",René Goscinny,1968,Sequential Art,Sequential Art,4.28,0,172,7776
12279,756,"Molloy, Malone Dies, The Unnamable",Samuel Beckett,1958,Fiction,Classics,4.28,1,299,6811
12287,937,Endgame,Samuel Beckett,1957,Drama,Fiction,3.86,1,392,10766
123632,694,Man and His Symbols,C.G. Jung,1964,Nonfiction,Philosophy,4.17,0,400,12858
12395,299,Journey to the End of the Night,Louis-Ferdinand Céline,1932,Fiction,Literary Fiction,4.25,2,1120,21149
124272,1102,The Wings of the Dove,Henry James,1901,Classics,Fiction,3.8,0,443,13162
12448,545,"Look Homeward, Angel",Thomas Wolfe,1929,Fiction,Classics,3.94,0,666,10007
124509,765,Smilla's Sense of Snow,Peter Høeg,1992,Fiction,Mystery,3.72,5,1683,30279
12467,619,The Naked and the Dead,Norman Mailer,1948,War,Historical Fiction,3.94,0,605,19351
12468,533,The Executioner's Song,Norman Mailer,1979,Nonfiction,Crime,4.07,3,925,14650
12527,501,Pilgrim at Tinker Creek,Annie Dillard,1974,Writing,Fiction,4.1,1,1610,16089
125432,1353,The Night in Lisbon,Erich Maria Remarque,1962,Fiction,Classics,4.2,0,364,7011
12555,1379,The Bonesetter's Daughter,Amy Tan,2001,Fiction,Historical Fiction,3.98,0,2777,103436
12557,642,The Kitchen God's Wife,Amy Tan,1991,Fiction,Historical Fiction,3.98,0,1703,60476
12568,824,Trout Fishing in America / The Pill vs. the Springhill Mine Disaster / In Watermelon Sugar,Richard Brautigan,1967,Fiction,Poetry,4.16,0,369,8078
125870,1421,Billy Budd and Other Stories,Herman Melville,1853,Literature,Literature,3.5,0,226,4305
126232,1190,Jaws,Peter Benchley,1974,Horror,Fiction,3.96,0,2044,101115
126512,1063,The Way of All Flesh,Samuel Butler,1903,Classics,Fiction,3.61,0,326,6446
12657,434,The Source,James A. Michener,1965,Historical Fiction,Fiction,4.29,0,1042,32090
12658,376,Hawaii,James A. Michener,1959,Historical Fiction,Fiction,4.18,0,1230,60097
12659,878,Texas,James A. Michener,1985,Historical Fiction,Fiction,4.06,0,302,13590
12661,832,Chesapeake,James A. Michener,1978,Fiction,Historical Fiction,4.13,0,609,15451
12663,1055,The Covenant,James A. Michener,1980,Historical Fiction,Fiction,4.17,0,317,15716
126675,1402,"The Nine Tailors (Lord Peter Wimsey, #11)",Dorothy L. Sayers,1934,Mystery,Fiction,4.07,0,761,11339
127028,1144,"The Magnificent Ambersons (The Growth Trilogy, #2)",Booth Tarkington,1918,Fiction,Classics,3.74,1,630,7769
12749,184,"Swann's Way (In Search of Lost Time, #1)",Marcel Proust,1913,Classics,Fiction,4.14,2,2238,29806
127584,1141,"Dragonquest (Pern, #2)",Anne McCaffrey,1971,Fantasy,Science Fiction,4.09,1,565,33695
127586,742,"The White Dragon (Pern, #3)",Anne McCaffrey,1978,Fantasy,Science Fiction,4.17,2,624,34805
12764,1226,The Death of Artemio Cruz,Carlos Fuentes,1962,Cultural,Literature,3.86,0,370,6685
12781,288,The Satanic Verses,Salman Rushdie,1988,Fiction,Magical Realism,3.71,2,2908,41206
12813565,755,Invisible Monsters Remix,Chuck Palahniuk,1999,Humor,Adult Fiction,4.0,0,4515,97029
12885,1155,Lost in the Funhouse,John Barth,1968,Short Stories,Fiction,3.72,1,263,4413
12890,1468,Barabbas,Pär Lagerkvist,1950,Fiction,Classics,3.83,1,261,2779
12898,162,Death of a Salesman,Arthur Miller,1949,Plays,Classics,3.48,1,3246,141112
129237,1251,A Theory of Justice,John Rawls,1971,Philosophy,Law,3.9,0,160,8771
12936,1350,"Gathering Blue (The Giver, #2)",Lois Lowry,2000,Science Fiction,Fiction,3.8,2,9157,122769
1295,177,"The Clan of the Cave Bear (Earth's Children, #1)",Jean M. Auel,1980,Historical Fiction,Fiction,4.01,1,4938,183153
12967,379,Winter's Tale,Mark Helprin,1983,Fantasy,Fiction,3.5,0,3793,22487
12995,834,The Hamlet,William Faulkner,1940,Fiction,Classics,3.87,0,192,3749
13,26,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1-5),Douglas Adams,1996,Science Fiction,Fiction,4.37,0,4099,232019
130115,975,The Grass is Singing,Doris Lessing,1950,Fiction,Cultural,3.82,0,686,7397
13033,324,The Alexandria Quartet  (The Alexandria Quartet #1-4),Lawrence Durrell,1960,Fiction,Classics,4.17,0,339,9505
13042,1254,Kate Vaiden,Reynolds Price,1986,Fiction,American,3.88,1,108,1196
130440,157,Doctor Zhivago,Boris Pasternak,1957,Historical Fiction,Cultural,4.04,1,2010,64521
130580,345,"Old Yeller (Old Yeller, #1)",Fred Gipson,1956,Classics,Fiction,4.06,4,1571,70130
13103,524,"The Celestine Prophecy (Celestine Prophecy, #1)",James Redfield,1993,Fiction,Spirituality,3.59,0,3122,75640
131359,954,"Death on the Nile (Hercule Poirot, #17)",Agatha Christie,1937,Mystery,Mystery,4.05,0,2042,69365
13148,1459,"Kiss the Girls (Alex Cross, #2)",James Patterson,1995,Mystery,Fiction,3.92,0,2685,272865
13214,143,I Know Why the Caged Bird Sings,Maya Angelou,1969,Nonfiction,Classics,4.18,1,6098,267219
132626,957,On the Genealogy of Morals/Ecce Homo,Friedrich Nietzsche,1966,Nonfiction,Philosophy,4.13,0,167,11683
132749,1256,A Time to Love and a Time to Die,Erich Maria Remarque,1954,Classics,Fiction,4.35,0,164,5947
133380,672,Collected Poems,Edna St. Vincent Millay,1956,Poetry,Classics,4.23,0,110,7281
133394,1357,Our Man in Havana,Graham Greene,1958,Fiction,Spy Thriller,3.94,0,1091,17341
133430,662,Centennial,James A. Michener,1974,Historical Fiction,Fiction,4.21,0,621,31394
133445,1127,The Edible Woman,Margaret Atwood,1969,Fiction,Cultural,3.66,0,1185,22082
133518,95,The Things They Carried,Tim O&#39;Brien,1990,Academic,Nonfiction,4.12,3,10102,167671
133793,951,Dead Man Walking: The Eyewitness Account Of The Death Penalty That Sparked a National Debate,Helen Prejean,1993,Nonfiction,Autobiography,4.07,0,393,5537
1346917,1176,The Collected Poems of Williams Carlos Williams: 1939-1962,William Carlos Williams,1967,Poetry,Literature,4.27,0,20,3518
13496,102,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,1996,Fantasy,Fiction,4.44,4,44850,1359779
135106,1468,"The Hangman's Beautiful Daughter (Ballad, #2)",Sharyn McCrumb,1992,Mystery,Historical Fiction,4.02,2,158,3509
1354214,1361,The Girl in a Swing,Richard Adams,1980,Fiction,Horror,3.5,0,135,1483
135479,101,Cat's Cradle,Kurt Vonnegut,1963,Fiction,Classics,4.18,1,7624,262925
135836,439,Trainspotting,Irvine Welsh,1993,Fiction,Contemporary,4.07,0,1872,106157
136096,855,"If Not Now, When?",Primo Levi,1982,Fiction,Historical Fiction,4.22,2,107,1983
136116,305,The Scarlet Pimpernel,Emmuska Orczy,1905,Historical Fiction,Fiction,4.06,0,4838,100795
13642,357,"A Wizard of Earthsea (Earthsea Cycle, #1)",Ursula K. Le Guin,1968,Fiction,Young Adult,3.99,3,4980,160322
13651,406,The Dispossessed,Ursula K. Le Guin,1974,Science Fiction,Fiction,4.18,7,2699,49190
1375256,1186,Kon-Tiki: Across the Pacific in a Raft,Thor Heyerdahl,1948,Nonfiction,Travel,4.09,0,788,14848
13813,1130,"A Darkness At Sethanon (The Riftwar Saga, #4)",Raymond E. Feist,1986,Fantasy,Fiction,4.17,0,470,46638
138165,764,"Poetry, Drama and Prose",W.B. Yeats,2000,Poetry,Drama,4.26,0,17,2438
13821,1035,Lord of Light,Roger Zelazny,1967,Fantasy,Science Fiction,4.1,2,1033,21102
13831,1122,"Alanna: The First Adventure (Song of the Lioness, #1)",Tamora Pierce,1983,Fantasy,Young Adult,4.27,2,3630,87811
13872,377,Geek Love,Katherine Dunn,1989,Fiction,Horror,3.99,1,4827,43031
138872,972,Follow the River,James Alexander Thom,1981,Historical Fiction,Fiction,4.21,0,1859,13981
13891,1409,"Winter's Heart (Wheel of Time, #9)",Robert Jordan,2000,Fantasy,Fiction,3.91,0,1261,73741
138959,358,Stuart Little,E.B. White,1945,Childrens,Classics,3.88,1,1890,87757
139253,454,The House on Mango Street,Sandra Cisneros,1984,Fiction,Young Adult,3.55,2,6444,81994
13927,1369,"Son of the Shadows (Sevenwaters, #2)",Juliet Marillier,2000,Fantasy,Romance,4.32,0,1041,22731
13928,766,"Daughter of the Forest  (Sevenwaters, #1)",Juliet Marillier,1999,Fantasy,Romance,4.28,2,3069,41411
1399975,759,Paradise,Toni Morrison,1997,Fiction,Cultural,3.77,2,740,18476
140225,323,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",C.S. Lewis,1951,Fantasy,Fiction,4.08,0,4353,314595
14028,1104,Snow Country,Yasunari Kawabata,1937,Fiction,Cultural,3.7,1,1004,11578
14064,746,I Am Legend,Richard Matheson,1954,Horror,Science Fiction,4.07,1,3351,54967
140963,689,O Pioneers!,Willa Cather,1913,Fiction,Historical Fiction,3.83,0,2111,33569
14142,898,The Art of Loving,Erich Fromm,1956,Psychology,Nonfiction,4.01,0,1138,30613
141828,1140,L'Écume des jours,Boris Vian,1947,Cultural,Fiction,4.02,0,704,17048
14185,821,The Three Stigmata of Palmer Eldritch,Philip K. Dick,1965,Fiction,Science Fiction,4.01,0,1032,22404
142296,1301,The Anubis Gates,Tim Powers,1983,Fantasy,Science Fiction,3.96,4,1020,11338
14249,341,Prodigal Summer,Barbara Kingsolver,2000,Fiction,Contemporary,3.97,0,5081,79040
14286,1214,Open Secrets,Alice Munro,1994,Short Stories,Fiction,4.09,1,291,3764
1431,1074,Veronika Decides to Die,Paulo Coelho,1998,Contemporary,Philosophy,3.69,0,5813,126342
14345,965,Rain of Gold,Victor Villaseñor,1991,Fiction,Historical Fiction,4.47,0,612,5345
14349,972,The Pearl/The Red Pony,John Steinbeck,1965,Fiction,Classics,3.64,0,31,1333
143534,472,The Gift of the Magi,O. Henry,1905,Classics,Short Stories,4.07,0,1212,69036
14358,1036,"A Ring of Endless Light (Austin Family, #5)",Madeleine L&#39;Engle,1980,Young Adult,Fiction,4.14,2,628,16429
14376,684,Einstein's Dreams,Alan Lightman,1992,Fiction,Short Stories,4.08,0,2384,23237
144073,1311,"Good Morning, Midnight",Jean Rhys,1939,Fiction,Classics,3.93,0,383,4098
14431,1388,"Rites of Passage (To the Ends of the Earth, #1)",William Golding,1980,Fiction,Historical Fiction,3.62,1,125,2532
144629,1497,Giles Goat-Boy,John Barth,1966,Fiction,Literature,3.78,0,119,1676
14497,246,Neverwhere,Neil Gaiman,1996,Fantasy,Fiction,4.17,2,14628,282108
144974,119,The Velveteen Rabbit,Margery Williams,1922,Childrens,Classics,4.29,1,2580,181769
14595,1184,Please Kill Me: The Uncensored Oral History of Punk,Legs McNeil,1996,Music,Nonfiction,4.16,0,867,20840
146422,1321,The Book of Sand and Shakespeare's Memory,Jorge Luis Borges,2001,Fiction,Short Stories,4.3,0,171,4521
146559,1106,The Wild Palms,William Faulkner,1939,Fiction,Classics,3.87,0,196,2938
146746,626,"The Jewel in the Crown (The Raj Quartet, #1)",Paul Scott,1966,Historical Fiction,Cultural,4.16,0,282,3987
147039,1092,Dona Flor and Her Two Husbands,Jorge Amado,1966,Magical Realism,Cultural,4.0,0,248,5172
14769,1190,Davita's Harp,Chaim Potok,1985,Fiction,Historical Fiction,3.95,0,281,4648
